[     414ms] [TIMESTAMP] Transition Track @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:9246
[     414ms] [TIMESTAMP] Suspense Track @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:9246
[     414ms] [TIMESTAMP] Idle Track @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:9246
[     415ms] [TIMESTAMP] Commit @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:2915
[     417ms] [TIMESTAMP] Waiting for Paint @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:9989
[     418ms] [TIMESTAMP] AppRouterAnnouncer @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:2804
[     418ms] [TIMESTAMP] Blocking Track @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:9246
[     418ms] [TIMESTAMP] Transition Track @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:9246
[     418ms] [TIMESTAMP] Suspense Track @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:9246
[     418ms] [TIMESTAMP] Idle Track @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:9246
[     436ms] [TIMESTAMP] Blocking Track @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:9246
[     436ms] [TIMESTAMP] Transition Track @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:9246
[     436ms] [TIMESTAMP] Suspense Track @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:9246
[     436ms] [TIMESTAMP] Idle Track @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:9246
[     439ms] [TIMESTAMP] Server Requests Track @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_164kp-6._.js:710
[     439ms] [TIMESTAMP] Server Components Track @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_164kp-6._.js:710
[     439ms] [TIMESTAMP] ​Preloads @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_164kp-6._.js:2219
[     440ms] [TIMESTAMP] ​HTTPAccessErrorFallback @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_164kp-6._.js:2219
[     440ms] [TIMESTAMP] ​NotFound @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_164kp-6._.js:2219
[     440ms] [TIMESTAMP] await cookies @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_164kp-6._.js:768
[     440ms] [TIMESTAMP] await headers @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_164kp-6._.js:768
[     440ms] [TIMESTAMP] ​NextIntlClientProviderServer @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_164kp-6._.js:2219
[     440ms] [TIMESTAMP] await cookies @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_164kp-6._.js:768
[     440ms] [TIMESTAMP] await headers @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_164kp-6._.js:768
[     440ms] [TIMESTAMP] ​RootLayout @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_164kp-6._.js:2219
[     440ms] [TIMESTAMP] ​Next.MetadataOutlet @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_164kp-6._.js:2219
[     440ms] [TIMESTAMP] ​NonIndex @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_164kp-6._.js:2219
[     440ms] [TIMESTAMP] ​Next.Viewport @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_164kp-6._.js:2219
[     440ms] [TIMESTAMP] ​ViewportWrapper @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_164kp-6._.js:2219
[     440ms] [TIMESTAMP] ​Next.Metadata @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_164kp-6._.js:2219
[     440ms] [TIMESTAMP] ​MetadataWrapper @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_164kp-6._.js:2219
[     440ms] [TIMESTAMP] Render @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:9696
[     440ms] [TIMESTAMP] Waiting for Paint @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:9989
[     440ms] [TIMESTAMP] Blocking Track @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:9246
[     440ms] [TIMESTAMP] Transition Track @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:9246
[     440ms] [TIMESTAMP] Suspense Track @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:9246
[     440ms] [TIMESTAMP] Idle Track @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:9246
[     440ms] [TIMESTAMP] Prepared @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:9696
[     469ms] [TIMESTAMP] Blocking Track @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:9246
